adr_inter,adresse,adrzus_int,behindertenparkplatz,bemerkung,ccmail,da,datum,datum_cms,dep,editor,erforderlichedokumente,fax,hausnummer,hindernisfreiheit,infrastruktur,isbetriebsferien_gebaeude,isbetriebsferien_schalter,kategorie,mail,name,namenzus,objectid,oeffnungszeiten_gebaeude_di,oeffnungszeiten_gebaeude_do,oeffnungszeiten_gebaeude_fr,oeffnungszeiten_gebaeude_mi,oeffnungszeiten_gebaeude_mo,oeffnungszeiten_gebaeude_sa,oeffnungszeiten_gebaeude_so,oeffnungszeiten_schalter_di,oeffnungszeiten_schalter_do,oeffnungszeiten_schalter_fr,oeffnungszeiten_schalter_mi,oeffnungszeiten_schalter_mo,oeffnungszeiten_schalter_sa,oeffnungszeiten_schalter_so,ort,plz,poi_id,postadresse,publish_internet,strasse,suchen,tel,tel2,www,zahlungsmittel_internet,zahlungsmittel_schalter,zahlungsmittel_telefon,zvv_label,zvv_link,link_pls,anzahl_oeffentliche_pp,id,davon_behinderten_pp,davon_elektro_pp,davon_frauen_pp,davon_klein_pp,anzahl_mobility_pp,geometry,fixed_geometry,district_id
,Steinwiesstrasse 80,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Kinderspital 1,,10000508,,,,,,,,,,,,,,,,,ph10000508,,,,,,,,,,,,,,50,10000508,2,0,0,0,0,POINT (2684470.5 1247359.9),POINT (47.37166370036412 8.557038875032372),7
,Enzenbühlstrasse 53,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Klinik Hirslanden,,10000522,,,,,,,,,,,,,,,,,ph10000522,,,,,,,,,,,,,,119,10000522,2,0,0,0,0,POINT (2685942.8 1245037.6),POINT (47.35058807545791 8.57608416491764),8
,Badenerstrasse 705,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Krone,,10000518,,,,,,,,,,,,,,,,,ph10000518,,,,,,,,,,,,,,34,10000518,1,0,0,0,0,POINT (2678896.2 1249124.4),POINT (47.3882235940054 8.483553636432228),9
,Sihlquai 305a,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,KV Zurich Business School,,10000411,,,,,,,,,,,,,,,,,ph10000411,,,,,,,,,,,,,,129,10000411,2,0,11,0,0,POINT (2682024.5 1249386.1),POINT (47.39019508265851 8.525028718518314),5
,Baslerstrasse 52,,14,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Letzipark,,10000412,,,,,,,,,,,,,,,,,ph10000412,,,,,,,,,,,,,,1267,10000412,14,0,0,7,0,POINT (2679943.8 1248932.4),POINT (47.38637056859664 8.49739243575725),9
,Ueberlandstrasse 381,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Lidl Schwamendingen,,10000486,,,,,,,,,,,,,,,,,ph10000486,,,,,,,,,,,,,,28,10000486,2,0,0,0,0,POINT (2686493 1251406.8),POINT (47.40779613847101 8.584596056260015),12
,Hardturmstrasse 126b,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Limmat West,,10000454,,,,,,,,,,,,,,,,,ph10000454,,,,,,,,,,,,,,30,10000454,0,0,0,0,0,POINT (2681108 1249750.2),POINT (47.39358304715721 8.512957338241192),5
,Spirgartenstrasse 5,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Lindenplatz,,10000523,,,,,,,,,,,,,,,,,ph10000523,,,,,,,,,,,,,,38,10000523,1,0,0,0,0,POINT (2679008 1249026.5),POINT (47.38732973973917 8.485016890916514),9
,Hopfenstrasse 11,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Manesseparkhaus,,10000514,,,,,,,,,,,,,,,,,ph10000514,,,,,,,,,,,,,,16,10000514,0,0,0,0,0,POINT (2681735.8 1246593.2),POINT (47.36511332377701 8.520695362009739),3
,Neumühlequai 42,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Marriot I,,10000408,,,,,,,,,,,,,,,,,ph10000408,,,,,,,,,,,,,,73,10000408,0,2,0,0,0,POINT (2683202.5 1248539.4),POINT (47.38243269164246 8.540471682782293),6
,Wasserwerkstrasse 8,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Marriot II,,10000409,,,,,,,,,,,,,,,,,ph10000409,,,,,,,,,,,,,,29,10000409,0,0,0,0,0,POINT (2683246.8 1248559.1),POINT (47.38260426455771 8.541061933239771),6
,Ellen-Widmann-Weg 2,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Max Bill-Platz,,59,,,,,,,,,,,,,,,,,ph059,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/max_bill_platz.jsp?pid=max_bill_platz,98,59,2,0,0,0,0,POINT (2683049.2 1252073.2),POINT (47.41423257620131 8.539098048542739),11
,Limmattalstrasse 166,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Meierhofplatz 1,,10000427,,,,,,,,,,,,,,,,,ph10000427,,,,,,,,,,,,,,13,10000427,0,0,0,0,0,POINT (2680145 1250662.9),POINT (47.40190916480886 8.500366849183516),10
,Hagenholzstrasse 50,,7,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Messe,,41,,,,,,,,,,,,,,,,,ph041,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/messe.jsp?pid=messe,1992,41,7,0,24,24,0,POINT (2684128.8 1252050.9),POINT (47.4138949729976 8.553397569432203),11
,Albisriederstrasse 367,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Migros Albisrieden,,10000462,,,,,,,,,,,,,,,,,ph10000462,,,,,,,,,,,,,,25,10000462,0,0,0,0,0,POINT (2679060.2 1247656.1),POINT (47.37499887102036 8.485466052784865),9
,Löwenstrasse 33,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Migros City,,10000527,,,,,,,,,,,,,,,,,ph10000527,,,,,,,,,,,,,,37,10000527,2,0,0,0,0,POINT (2682895 1247721.8),POINT (47.37511847877477 8.536248569102048),1
,Pfingstweidstrasse 101,,10,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Migros Herdern,,10000445,,,,,,,,,,,,,,,,,ph10000445,,,,,,,,,,,,,,569,10000445,10,2,0,9,0,POINT (2680816.8 1249375.2),POINT (47.39024632433063 8.509032919369673),5
,Wagnergasse 16,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Migros Kreuzplatz,,10000509,,,,,,,,,,,,,,,,,ph10000509,,,,,,,,,,,,,,25,10000509,2,0,0,0,0,POINT (2684229.2 1246547.8),POINT (47.36439107611447 8.553691643770918),8
,Gasometerstrasse 47,,6,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Migros Limmatplatz,,10000429,,,,,,,,,,,,,,,,,ph10000429,,,,,,,,,,,,,,397,10000429,6,2,0,8,0,POINT (2682467.8 1248883.4),POINT (47.38561877993712 8.530806749560703),5
,Frohburgstrasse 1,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Migros Rigiplatz,,10000416,,,,,,,,,,,,,,,,,ph10000416,,,,,,,,,,,,,,55,10000416,2,0,0,0,0,POINT (2683810.2 1248984.8),POINT (47.38636129522506 8.548601782029083),6
,Schaffhauserstrasse 470a,,3,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Migros Seebach,,10000471,,,,,,,,,,,,,,,,,ph10000471,,,,,,,,,,,,,,69,10000471,3,0,0,0,0,POINT (2683743.8 1252675.1),POINT (47.41955763033641 8.548413665592397),11
,Burstwiesenstrasse 5,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Migros Wiediker Markt,,10000398,,,,,,,,,,,,,,,,,ph10000398,,,,,,,,,,,,,,118,10000398,2,0,0,0,0,POINT (2680773.8 1247148.4),POINT (47.37022508494033 8.508061546381107),3
,Etzelstrasse 3,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Migros Wollishofen,,10000492,,,,,,,,,,,,,,,,,ph10000492,,,,,,,,,,,,,,35,10000492,0,0,0,0,0,POINT (2682492 1244328.5),POINT (47.34465166654717 8.530288069449691),2
,Seefeldstrasse 229a,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Mühle Tiefenbrunnen,,10000452,,,,,,,,,,,,,,,,,ph10000452,,,,,,,,,,,,,,37,10000452,0,0,0,0,0,POINT (2684861.8 1245083),POINT (47.35113642145654 8.561787626177166),8
,Naglerwiesenstrasse 2,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Naglerwiesenstrasse,,10000469,,,,,,,,,,,,,,,,,ph10000469,,,,,,,,,,,,,,21,10000469,0,0,0,0,0,POINT (2678810.8 1251860.4),POINT (47.41283972474961 8.482904879474555),10
,Siewerdtstrasse 84,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Neudorf,,10000415,,,,,,,,,,,,,,,,,ph10000415,,,,,,,,,,,,,,110,10000415,0,0,0,0,0,POINT (2684297.5 1251852.5),POINT (47.41208913864391 8.555595257197007),11
,Baslerstrasse 145,,6,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Neumarkt (Migros Altstetten),,10000431,,,,,,,,,,,,,,,,,ph10000431,,,,,,,,,,,,,,254,10000431,6,4,0,7,0,POINT (2679198.8 1249257.6),POINT (47.38938520826742 8.487584479289756),9
,Nansenstrasse 21,,3,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Neumarkt (Zentrum Oerlikon),,10000432,,,,,,,,,,,,,,,,,ph10000432,,,,,,,,,,,,,,302,10000432,3,3,4,0,0,POINT (2683405.2 1251661.5),POINT (47.41048505389107 8.543737909822555),11
,Siewerdtstrasse 10,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Nordhaus,,45,,,,,,,,,,,,,,,,,ph045,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/nordhaus.jsp?pid=nordhaus,184,45,2,0,13,4,0,POINT (2683686 1251843.5),POINT (47.41208619999825 8.547492070819581),11
,Schiffbaustrasse 11,,4,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Novotel Zürich-City,,10000463,,,,,,,,,,,,,,,,,ph10000463,,,,,,,,,,,,,,93,10000463,4,0,0,0,0,POINT (2681443.5 1249242.8),POINT (47.38897842061893 8.517308334189011),5
,Brown-Boveri-Strasse 2,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Octavo,,51,,,,,,,,,,,,,,,,,ph051,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/octavo.jsp?pid=octavo,121,51,2,0,0,0,0,POINT (2682853.2 1252000.4),POINT (47.4136025585119 8.536487723524054),11
,Theaterstrasse 7,,6,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Opéra,,1532,,,,,,,,,,,,,,,,,ph1532,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/opera.jsp?pid=opera,297,1532,6,5,0,0,0,POINT (2683730 1246631),POINT (47.36520293612408 8.547099435958843),1
,Förrlibuckstrasse 151,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,P West,,52,,,,,,,,,,,,,,,,,ph052,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/p_west.jsp?pid=p_west,1004,52,0,0,0,0,0,POINT (2680950.2 1249576.4),POINT (47.39203941132999 8.510835974144495),5
,Gotthardstrasse 27,,7,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Park Hyatt,,50,,,,,,,,,,,,,,,,,ph050,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/park_hyatt.jsp?pid=park_hyatt,267,50,7,2,10,1,0,POINT (2682899.5 1246698),POINT (47.36591048329701 8.5361185635934),2
,Seilergraben 74,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Parkgarage am Central,,27,,,,,,,,,,,,,,,,,ph027,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/central.jsp?pid=central,30,27,0,0,0,0,0,POINT (2683537.8 1247895.8),POINT (47.37660214343996 8.544791318914335),1
,Sophie-Taeuber-Strasse 14,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Parkside,,62,,,,,,,,,,,,,,,,,ph062,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/parkside.jsp?pid=parkside,39,62,1,0,0,0,0,POINT (2683054.2 1251872.9),POINT (47.41243059506096 8.539127074211871),11
,Pfingstweidstrasse 9,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Pfingstweid,,1,,,,,,,,,,,,,,,,,ph001,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/pfingstweid.jsp?pid=pfingstweid,232,1,0,0,0,0,0,POINT (2681481.5 1249087),POINT (47.38757255496534 8.517783188615788),5
,Hardstrasse 201,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Prime Tower,,10000512,,,,,,,,,,,,,,,,,ph10000512,,,,,,,,,,,,,,20,10000512,0,0,0,0,0,POINT (2681442.2 1248929),POINT (47.38615646180408 8.517233995963641),5
,Technoparkstrasse 10,,3,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Puls 5,,1533,,,,,,,,,,,,,,,,,ph1533,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/puls5.jsp?pid=puls5,59,1533,3,0,5,0,0,POINT (2681459.8 1249457),POINT (47.39090278361302 8.517563197065153),5
,Giessereistrasse 7,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Schiffbau,,10000473,,,,,,,,,,,,,,,,,ph10000473,,,,,,,,,,,,,,30,10000473,2,0,0,0,0,POINT (2681564.8 1249292.5),POINT (47.38941038327808 8.518923757906567),5
,Lengghalde 2b,,3,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Schulthess Klinik,,10000483,,,,,,,,,,,,,,,,,ph10000483,,,,,,,,,,,,,,193,10000483,3,0,0,0,0,POINT (2685735 1245202.9),POINT (47.35210173940321 8.57336593687323),8
,Büttenweg 22,,16,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Sihlcity,,10000479,,,,,,,,,,,,,,,,,ph10000479,,,,,,,,,,,,,,748,10000479,16,0,0,0,5,POINT (2681938 1245644.9),POINT (47.35655974279683 8.523198372061659),3
,Saumackerstrasse 33,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Solida Park,,10000399,,,,,,,,,,,,,,,,,ph10000399,,,,,,,,,,,,,,48,10000399,0,0,0,0,0,POINT (2679283.8 1249097.5),POINT (47.38793513881092 8.488681767480827),9
,Wehntalerstrasse 628,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Spar Affoltern,,10000489,,,,,,,,,,,,,,,,,ph10000489,,,,,,,,,,,,,,14,10000489,0,0,0,0,0,POINT (2680047.5 1252972.6),POINT (47.42269291342836 8.499488974085875),11
,Baslerstrasse 15,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Stadion Letzigrund,,10000485,,,,,,,,,,,,,,,,,ph10000485,,,,,,,,,,,,,,108,10000485,2,0,0,0,0,POINT (2680421 1248665.4),POINT (47.38391125220444 8.503663660826218),9
,Niklausstrasse 17,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Stampfenbach,,33,,,,,,,,,,,,,,,,,ph033,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/stampfenbach.jsp?pid=stampfenbach,189,33,2,0,5,0,2,POINT (2683117 1249006.6),POINT (47.38664517347799 8.539426346167225),6
,Müllerstrasse 11,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Stauffacher,,10000501,,,,,,,,,,,,,,,,,ph10000501,,,,,,,,,,,,,,10,10000501,0,0,0,0,0,POINT (2682499.5 1247607.8),POINT (47.37414286920964 8.530991369442066),4
,Werdstrasse 6,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Stauffachertor,,10000421,,,,,,,,,,,,,,,,,ph10000421,,,,,,,,,,,,,,59,10000421,1,0,4,0,0,POINT (2682458.2 1247474.1),POINT (47.37294562271805 8.530419962703997),4
,Tödistrasse 26,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Stockerhof,,10000506,,,,,,,,,,,,,,,,,ph10000506,,,,,,,,,,,,,,45,10000506,0,0,0,0,0,POINT (2682816 1246705.5),POINT (47.36598843180884 8.535014651566925),2
,Nüschelerstrasse 30,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Talgarten,,42,,,,,,,,,,,,,,,,,ph042,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/talgarten.jsp?pid=talgarten,110,42,0,0,0,0,0,POINT (2682881.8 1247391.1),POINT (47.37214602897036 8.536012577304495),1
,Technoparkstrasse 2,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Technopark Zürich,,10000467,,,,,,,,,,,,,,,,,ph10000467,,,,,,,,,,,,,,61,10000467,2,0,0,0,2,POINT (2681334 1249290.4),POINT (47.38942003328928 8.515866890945182),5
,Räffelstrasse 24,,3,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Tic Tric Trac,,10000517,,,,,,,,,,,,,,,,,ph10000517,,,,,,,,,,,,,,155,10000517,3,0,0,0,0,POINT (2681179 1246396.2),POINT (47.36341043443387 8.513289304112005),3
,Tobelhofstrasse 23,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Tobelhofstrasse,,10000321,,,,,,,,,,,,,,,,,ph10000321,,,,,,,,,,,,,,22,10000321,1,0,0,0,0,POINT (2685472.5 1248010.4),POINT (47.37738464895393 8.570428029967044),7
,Förrlibuckstrasse 113,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Toni-Areal,,10000516,,,,,,,,,,,,,,,,,ph10000516,,,,,,,,,,,,,,90,10000516,2,0,0,0,0,POINT (2681095 1249561.6),POINT (47.39188849950393 8.512750973707233),5
,Frauenklinikstrasse 10,,4,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Unispital Nord,,1412,,,,,,,,,,,,,,,,,ph1412,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/unispital_nord.jsp?pid=unispital_nord,104,1412,4,0,0,0,0,POINT (2683910.2 1248157.5),POINT (47.37890838272009 8.54977086261122),6
,Winterthurerstrasse 181,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Universität Irchel,,18,,,,,,,,,,,,,,,,,ph018,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/uni_irchel.jsp?pid=uni_irchel,773,18,0,0,0,0,0,POINT (2683633.2 1250294.1),POINT (47.39815873022166 8.546502715967673),6
,Uraniastrasse 3,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Urania,,24,,,,,,,,,,,,,,,,,ph024,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/urania.jsp?pid=urania,451,24,1,3,0,1,0,POINT (2683236.2 1247643.6),POINT (47.37437218514165 8.540751307430833),1
,Färberstrasse 6,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Utoquai,,48,,,,,,,,,,,,,,,,,ph048,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/utoquai.jsp?pid=utoquai,149,48,0,0,0,0,0,POINT (2683843.2 1246247),POINT (47.36173508442533 8.548525955469428),8
,Vorderberg 3,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Vorderberg,,10000417,,,,,,,,,,,,,,,,,ph10000417,,,,,,,,,,,,,,20,10000417,0,0,0,0,0,POINT (2684595 1247866.5),POINT (47.3762037556564 8.55878280943846),7
,Wallisellenstrasse 335,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Wallisellenstrasse,,10000457,,,,,,,,,,,,,,,,,ph10000457,,,,,,,,,,,,,,49,10000457,2,0,0,0,0,POINT (2684800.5 1251773),POINT (47.4113095901895 8.562244187935972),12
,Pfingstweidstrasse 60b,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,West-Park,,10000468,,,,,,,,,,,,,,,,,ph10000468,,,,,,,,,,,,,,38,10000468,1,0,0,0,0,POINT (2681302.8 1249417.8),POINT (47.3905696394942 8.51547686273735),5
,Röschibachstrasse 28,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Wipkingen,,10000430,,,,,,,,,,,,,,,,,ph10000430,,,,,,,,,,,,,,62,10000430,0,0,0,0,0,POINT (2682045.2 1249723.1),POINT (47.39322326236572 8.525364662166528),10
,Leutschenbachstrasse 77,,3,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,World Trade Center,,10000459,,,,,,,,,,,,,,,,,ph10000459,,,,,,,,,,,,,,184,10000459,3,0,0,1,0,POINT (2684491.5 1252473.1),POINT (47.41764547067359 8.558282799638134),11
,Schauenbergstrasse 6a,,0,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Zehntenhaus,,10000447,,,,,,,,,,,,,,,,,ph10000447,,,,,,,,,,,,,,41,10000447,0,0,0,0,0,POINT (2680541 1252533.9),POINT (47.41868736778483 8.505949422473199),11
,Riedenhaldenstrasse 289,,4,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Zentrum Affoltern,,10000414,,,,,,,,,,,,,,,,,ph10000414,,,,,,,,,,,,,,196,10000414,4,0,4,0,0,POINT (2680675 1252774.5),POINT (47.42083474901668 8.507768400997982),11
,Zweierstrasse 136,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Zentrum Schmiede,,10000428,,,,,,,,,,,,,,,,,ph10000428,,,,,,,,,,,,,,20,10000428,1,0,0,0,0,POINT (2681650 1247241),POINT (47.37094989655047 8.519677767529158),3
,Buchzelgstrasse 20a,,6,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Zentrum Witikon,,10000511,,,,,,,,,,,,,,,,,ph10000511,,,,,,,,,,,,,,180,10000511,6,4,0,3,2,POINT (2686684.5 1246033),POINT (47.3594429380983 8.586091853089226),7
,Nansenstrasse 7,,1,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Züri 11,,53,,,,,,,,,,,,,,,,,ph053,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/zueri11.jsp?pid=zueri11,61,53,1,2,0,0,0,POINT (2683508.5 1251699.4),POINT (47.41081280629007 8.545113527040488),11
,Baurstrasse 7,,2,,,,04.05.2020 01:51,,,,,,,,,,,Parkhaus,,Zürichhorn,,11,,,,,,,,,,,,,,,,,ph011,,,,,,,,,,,,,https://www.pls-zh.ch/parkhaus/zuerichhorn.jsp?pid=zuerichhorn,184,11,2,0,10,0,0,POINT (2684196.8 1245547.8),POINT (47.35540182812544 8.553074774174295),8
